section	package	install	detail	run	programs
x11	eviacam	skew	- libwebpmux3:amd64=1.6.0-0.1 is not selected for install because: libwebpmux3:amd64=1.5.0-0.1+b2 is selected for install	-	
x11	twm	ok		ok	twm:direct:ok
gnome	gnome-extra-icons	ok		none	
gnome	gnome-shell-extension-manager	ok		ok	extension-manager:direct:ok
gnome	eog-plugin-send-by-mail	ok		none	
kde	kalarm	skew	- libqt6core6t64:amd64=6.11.2+dfsg-5 is not selected for install because: libqt6core6t64:amd64=6.10.2+dfsg-16 is selected for install	-	
kde	plasma-browser-integration	skew	- libqt6core6t64:amd64=6.11.2+dfsg-5 is not selected for install because: libqt6core6t64:amd64=6.10.2+dfsg-16 is selected for install	-	
kde	sddm-theme-debian-maui	skew	- libqt6core6t64:amd64=6.11.2+dfsg-5 is not selected for install because: libqt6core6t64:amd64=6.10.2+dfsg-16 is selected for install	-	
xfce	xfce4-dev-tools	ok		partial	xdt-autogen:direct:ok,xdt-check-abi:direct:ok,xdt-csource:direct:ok,xdt-gen-visibility:view:ok,xfce-build:direct:ok,xfce-do-release:direct:fail
xfce	xfce4-taskmanager	skew	xfce4-taskmanager : Depends: libwnck-3-0 (>= 3.4.7) but it is not going to be installed	-	
xfce	parole-dev	skew	- libgdk-pixbuf2.0-bin:amd64=2.44.8+dfsg-1 is not selected for install because: libgdk-pixbuf2.0-bin:amd64=2.44.7+dfsg-1 is selected for install	-	
web	shaarli	skew	shaarli : Depends: fonts-fork-awesome but it is not going to be installed	-	
web	ceilometer-common	unpack	dpkg: error processing archive /tmp/apt-dpkg-install-eF3bEA/162-ceilometer-common_1%3a27.0.0~rc1-2_all.deb (--unpack):  cannot open '/etc/sudoers.d/ceilometer-common.dpkg-new': Permission denied dpkg: executing new ceilometer-common package postrm maintainer script for abort-install ... 	-	
web	compass-blueprint-plugin	ok		none	
comm	asterisk-mysql	script	Adding system user for Asterisk fatal: Only root may add a user or group to the system. old asterisk package postinst maintainer script subprocess failed with exit status 54 	-	
comm	wmbusmeters	script	No diversion 'diversion of /lib/udev/rules.d/60-librtlsdr0.rules to /lib/udev/rules.d/60-librtlsdr0.rules.usr-is-merged by usr-is-merged', none removed. fatal: Only root may add a user or group to the system. fatal: Only root may add a user or group to the system. old wmbusmeters package postinst	-	
comm	mgetty-docs	ok		none	
admin	apt-verify	skew		-	
admin	arpwatch	script	Failed to take /etc/passwd lock: Permission denied old arpwatch package postinst maintainer script subprocess failed with exit status 1 	-	
admin	fai-client	ok		partial	ainsl:view:ok,fai-class:direct:ok,fai-debconf:view:ok,fai-deps:view:fail,fai-do-scripts:direct:ok,fai-kvm:direct:fail
cli-mono	cli-common-dev	ok		ok	dh_auto_build_nant:view:ok,dh_auto_clean_nant:view:ok,dh_clideps:view:ok,dh_clifixperms:view:ok,dh_cligacpolicy:view:ok,dh_clistrip:view:ok
cli-mono	hexbox	ok		ok	hexbox:view:ok
cli-mono	libhexbox1.5-cil	ok		none	
database	fis-gtm	unpack	dpkg: error processing archive /home/master/.cache/sudo-less-survey/survey/archives/fis-gtm-7.2_7.2-000-2_amd64.deb (--unpack):  cannot create '/usr/lib/x86_64-linux-gnu/fis-gtm/V7.2-000_x86_64/gtmsecshrdir/gtmsecshr.dpkg-new' (while processing './usr/lib/x86_64-linux-gnu/fis-gtm/V7.2-000_x86_64/gt	-	
database	kexi-mysql-driver	skew	- libqt6core6t64:amd64=6.11.2+dfsg-5 is not selected for install because: libqt6core6t64:amd64=6.10.2+dfsg-16 is selected for install	-	
database	mariadb-client-compat	ok		partial	mysql_convert_table_format:view:fail,mysql_find_rows:view:ok,mysql_fix_extensions:view:ok,mysql_plugin:view:ok,mysql_secure_installation:view:tty,mysql_setpermission:view:fail
gnustep	addressmanager.app	skew	- gcc-16-base:amd64=16.2.0-3 is not selected for install because: gcc-16-base:amd64=16.2.0-2 is selected for install	-	
gnustep	adun.app	skew	- gcc-16-base:amd64=16.2.0-3 is not selected for install because: gcc-16-base:amd64=16.2.0-2 is selected for install	-	
gnustep	batmon.app	skew	- gcc-16-base:amd64=16.2.0-3 is not selected for install because: gcc-16-base:amd64=16.2.0-2 is selected for install	-	
httpd	libapache2-mod-log-slow	ok		none	
httpd	libapache2-mod-neko	ok		none	
httpd	libapache2-mod-sts	ok		none	
kernel	linux-base-7.1.13+deb14-cloud-amd64	unpack	dpkg: error processing archive /home/master/.cache/sudo-less-survey/survey/archives/linux-base-7.1.13+deb14-cloud-amd64_7.1.13-1_amd64.deb (--unpack):  cannot create '/boot/System.map-7.1.13+deb14-cloud-amd64.dpkg-new' (while processing './boot/System.map-7.1.13+deb14-cloud-amd64'): Permission deni	-	
kernel	linux-base-7.1.6+deb14-amd64	unpack	dpkg: error processing archive /home/master/.cache/sudo-less-survey/survey/archives/linux-base-7.1.6+deb14-amd64_7.1.6-1_amd64.deb (--unpack):  cannot create '/boot/System.map-7.1.6+deb14-amd64.dpkg-new' (while processing './boot/System.map-7.1.6+deb14-amd64'): Permission denied Errors were encoun	-	
kernel	linux-binary-7.1.3+deb14-rt-amd64	unpack	dpkg: error processing archive /home/master/.cache/sudo-less-survey/survey/archives/linux-base-7.1.3+deb14-rt-amd64_7.1.3-1_amd64.deb (--unpack):  cannot create '/boot/System.map-7.1.3+deb14-rt-amd64.dpkg-new' (while processing './boot/System.map-7.1.3+deb14-rt-amd64'): Permission denied Selecting	-	
mail	biabam	script	debconf: DbDriver "passwords" warning: could not open /var/cache/debconf/passwords.dat: Permission denied Failed to take /etc/passwd lock: Permission denied old exim4-config package postinst maintainer script subprocess failed with exit status 1 	-	
mail	chasquid	ok		ok	chasquid:direct:ok,chasquid-util:direct:ok,mda-lmtp:direct:ok,smtp-check:direct:ok
mail	claws-mail-litehtml-viewer	ok		none	
metapackages	astro-virtual-observatory	ok		none	
metapackages	games-content-dev	ok		none	
metapackages	jupyter	script	ucfr: Need to be run as root. ucfr: Setting up no action mode. ucfr: do not have write privilege to the registry data replace_in_registry chmod: cannot access '/etc/profile.d/debuginfod.sh': No such file or directory old libdebuginfod-common package postinst maintainer script subprocess failed 	-	
misc	fp-units-castle-game-engine	skew	- libgdk-pixbuf2.0-bin:amd64=2.44.8+dfsg-1 is not selected for install because: libgdk-pixbuf2.0-bin:amd64=2.44.7+dfsg-1 is selected for install	-	
misc	libhsm-bin	script	debconf: DbDriver "passwords" warning: could not open /var/cache/debconf/passwords.dat: Permission denied fatal: Only root may add a user or group to the system. old opendnssec-common package postinst maintainer script subprocess failed with exit status 54 	-	
misc	libjuman-perl	ok		none	
net	ahcpd	ok		fail	ahcpd:view:fail
net	fireqos	script	Failed to take /etc/passwd lock: Permission denied old tcpdump package postinst maintainer script subprocess failed with exit status 1 	-	
net	freeipa-common	ok		none	
news	canlock	ok		ok	canlock:view:ok,canlock-hfp:direct:ok,canlock-mhp:direct:ok
news	inn	script	(Reading database ... (Reading database ... 5%(Reading database ... 10%(Reading database ... 15%(Reading database ... 20%(Reading database ... 25%(Reading database ... 30%(Reading database ... 35%(Reading database ... 40%(Reading database ... 45%(Reading database ... 50%(Reading database 	-	
news	innduct	ok		ok	innduct:view:ok,innduct-forall:view:ok,innduct-stats-report:view:ok
oldlibs	clutter-1.0-tests	ok		none	
oldlibs	libclutter-1.0-dev	skew	- libatk1.0-0t64:amd64=2.62.0-2 is not selected for install because: libatk1.0-0t64:amd64=2.61.90-1 is selected for install	-	
oldlibs	libclutter-1.0-doc	ok		none	
